rowID,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
1284,3,5,"Week day lunch,Week day dinner,Late night snack",15,Avengers,Coca Cola,Friends,A moderate amount (medium),Shawarma
1285,4,6,"Weekend lunch,Weekend dinner",$8.00,Chinese zodiac,Water,Strangers,A lot (hot),Shawarma
1286,1,I prefer to take around 3 of them.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 15 - 20 dollar !,"It sounds like you're referring to the movie Ratatouille! It’s a Pixar animated film about a rat named Remy who dreams of becoming a great chef despite being a rodent in a profession dominated by humans. The story is set in Paris, and it beautifully blends themes of passion, creativity, and perseverance in the culinary world. Let me know if this is the one you're thinking of!",fruit tea,Friends,None,Shawarma
1287,3,10,Week day lunch,12-Oct,The avengers,Coke zero,Friends,A moderate amount (medium),Shawarma
1288,5,10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15 dollars,No movie,Sprite,"Parents,Siblings,Friends",I will have some of this food item with my hot sauce,Shawarma
1289,2,3,Weekend dinner,12 dollars,The Avengers,coke,Friends,A moderate amount (medium),Shawarma
1290,2,3,Week day lunch,6,Ratatouille,orange juice,Strangers,A little (mild),Shawarma
1291,3,5-6,Week day lunch,10-Aug,sci-fic movies,pop drinks,"Parents,Friends",A moderate amount (medium),Shawarma
1292,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$7,The Avengers,Water,Strangers,None,Shawarma
1293,4,5-7,"Week day lunch,Week day dinner",$10-$15,Dictator ,Pepsi,Strangers,A lot (hot),Shawarma
1294,4,"At least 4 or more depending on the toppings. The bare minimum would be: pita bread, meat, vegetables, condiments.","Week day dinner,Weekend dinner",$8 to $9,The Avengers,"Iced tea, Coca-Cola, or water","Parents,Siblings,Friends",A moderate amount (medium),Shawarma
1295,5,"4 ingredients: Marinated Chicken, Pita Bread, French Fries, Garlic","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 6$ would be fair value,Avengers,Pepsi,"Parents,Siblings,Friends",None,Shawarma
1296,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8,none,Milk,"Parents,Friends",A moderate amount (medium),Shawarma
1297,4,10+,"Week day lunch,Week day dinner,Weekend dinner",12,Avengers,iced tea,"Friends,Strangers",A moderate amount (medium),Shawarma
1298,3,Around 10.,"Week day lunch,Weekend lunch,At a party",Around $6.,No movie comes to mind.,A soda or iced tea.,Siblings,None,Shawarma
1299,4,10,"Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$9,The Avengers,Mango Juice,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
1300,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$8.00,The Avengers,Pepsi,"Parents,Siblings",A little (mild),Shawarma
1301,3,"Five ingredients: Bread, chicken, three toppings.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3,Sonic the Hedgehog,Coke,Strangers,A lot (hot),Shawarma
1302,4,like 4-8. I really would like my ingredients to be on the lower side because the simpler the better. Also I like this item better in a bowl.,"Week day lunch,Weekend lunch,Late night snack",like 6-10$ USD.,Those commercials by the toronto food man. Za bebsi is the best.,pepsi,"Friends,Strangers",A lot (hot),Shawarma
1303,4,"I would expect the shawarma to contain 8-9 ingredients, for clarity my response is 9. ","Week day dinner,Weekend dinner","For one shawarma, it should cost $12 according to Osmows. ","I think of the movie 'The Avengers' because in the final scene of the movie, Tony Stark takes the avengers to the Shawarma place. ",I would pair Mountain Dew's Baja Blast with Shawarma. ,Strangers,A little (mild),Shawarma
1304,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers,Water,"Parents,Siblings,Friends",None,Shawarma
1305,4,14,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 dollar,Aladdin,Water,"Friends,Strangers",A lot (hot),Shawarma
1306,5,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$9,Avengers,Barbican,Friends,A moderate amount (medium),Shawarma
1307,2,"7 total. The ingredients include one choice of meat, pita bread, olive oil, spices, and about 3 toppings.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I expect to pay $15 for one serving of shawarma.,"When eating shawarma, I think of the movie ""Shrek 2"".",Probably just water. Nothing crazy.,"Parents,Friends",A moderate amount (medium),Shawarma
1308,4,8,"Week day dinner,Weekend lunch,Weekend dinner",9.99,The Avengers,Juice,"Parents,Strangers",A moderate amount (medium),Shawarma
1309,4,12,"Week day lunch,Weekend lunch,Late night snack",$15,The Avengers,Water,"Siblings,Friends",A lot (hot),Shawarma
1310,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,3 Idiots,Sprite,Strangers,None,Shawarma
1311,2,5,"Week day lunch,Weekend lunch,Late night snack",$9,none,soda,Friends,None,Shawarma
1312,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$9,The Avengers,Root Beer,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
1313,3,9,"Week day lunch,Weekend lunch,Late night snack",13.99,Avengers ,Lemonade,"Friends,Strangers",A lot (hot),Shawarma
1314,3,5,Week day lunch,$10,Spiderman,Water,Strangers,None,Shawarma
1315,4,10,Week day lunch,8,deadpool 3,chocolate milk,Friends,A moderate amount (medium),Shawarma
1316,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13,21 Jump Street,Water,"Parents,Friends",A moderate amount (medium),Shawarma
1317,2,"Flour, Oil, Vegetables, Meats.","Week day lunch,Week day dinner,At a party",less than 10 dollars.,The Avengers,No drink,"Siblings,Friends,Teachers",A little (mild),Shawarma
1318,4,25,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12-$15,The Avengers,Pop,"Parents,Friends,Strangers",None,Shawarma
1319,2,5,"Week day lunch,Week day dinner,Weekend lunch",$10,Not sure,Mango lassi,Strangers,None,Shawarma
1320,4,Around 8-10 depending on the type,"Week day lunch,Weekend lunch","$8-14, depending on size/type",Avengers (2012),iced tea/lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
1321,4,15,"Week day lunch,Weekend lunch",$12.00,Chef,lemonade,Friends,A lot (hot),Shawarma
1322,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15,Slumdog Millionaire,Iced Tea,"Parents,Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
1323,3,10,"Week day dinner,Weekend dinner,At a party,Late night snack",10,none,water,"Parents,Friends,Strangers",None,Shawarma
1324,5,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",15,Avengers,Dairy,Siblings,A little (mild),Shawarma
1325,4,5-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,bollywood,cola,Friends,A little (mild),Shawarma
1326,5,5+,"Week day lunch,Weekend lunch,At a party",10 per serving,middle eastern movie,water,Friends,None,Shawarma
1327,3,7,Week day lunch,12,How to lose a guy in 10 days,Pepsi,"Parents,Friends,Strangers",A lot (hot),Shawarma
1328,5,10,"Week day lunch,Late night snack",10,Fast and Furious,Zero sugar coca cola,Strangers,A lot (hot),Shawarma
1329,3,15,"Week day lunch,Weekend lunch,Weekend dinner",15,None,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma
1330,3,"I would expect 7-10: wrap (pita for example), chicken, cucumber, tomato, lettuce, sauce, and other vegetable toppings like onions, olives, green peppers, jalapeno peppers, banana peppers, and so on. However, this is not counting for the number of ingredients it might take to make the sauce itself.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","One serving of shawarma typically refers to one whole wrap, so about 11 CAD in Toronto.",Ratatouille.,Water.,"Parents,Siblings,Strangers",A lot (hot),Shawarma
1331,3,More than 5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10,The Avengers,Coke,Parents,None,Shawarma
1332,3,6-8,"Week day lunch,Week day dinner",20-Oct,Marvel Movies,Coke or Juice,Friends,A little (mild),Shawarma
1333,3,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",About 15 - 20 dollars,Burnt,A coca cola ,Friends,None,Shawarma
1334,3,"At the bare minimum it would nee two ingredients. However, on average I would say it has six to eight ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 dollars,I thought of the anime Food Wars.,Nothing in particular– I would say water.,"Parents,Teachers",A lot (hot),Shawarma
1335,1,3 or a finite amount more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10,The Avengers,Any soft drink,Friends,I will have some of this food item with my hot sauce,Shawarma
1336,4,I expect it to contain 5 to 8 ingredients. Some people might like to have hummus or tahini sauce or falafel in this food item.,"Week day lunch,Weekend lunch","I wouldn’t pay more than a few hundred turkish lira, unless inflation increases the cost of this food item.","I don’t usually think of any movie when having this food item, but, after using google to refresh my memory, I would say Avengers because of the post-credits scene.","I would have milk and water (in separate cups of course). Milk in case it gets too spicy, and water in case it is too salty.","Friends,Strangers",A lot (hot),Shawarma
1337,3,5,"Week day dinner,Weekend dinner",12-20 dollars,Ponyo,sake,Friends,None,Sushi
1338,4,3-5 ingredients.,"Week day lunch,Week day dinner,Weekend dinner",For a single sushi? $1-2.,Kung Fu Panda,Water,"Parents,Siblings",None,Sushi
1339,1,4,"Week day dinner,Weekend dinner,Late night snack",$13,Rush Hour 3,Rice wine,"Parents,Siblings",A little (mild),Sushi
1340,4,2-4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$20,I don't know that many movies fr,water,"Parents,Siblings,Friends",None,Sushi
1341,4,4,Weekend dinner,$11,scary movie,milk tea,Friends,None,Sushi
1342,3,3,Weekend lunch,$10.00 for a meal,The Menu,water,"Parents,Siblings",None,Sushi
1343,4,5-10,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$6-18,"Monsters, Inc.",Coke,"Friends,Strangers",A little (mild),Sushi
1344,5,5,"Week day dinner,Weekend dinner,Late night snack",$13.00,John Wick,Water,"Parents,Siblings",None,Sushi
1345,4,6,"Week day lunch,Weekend lunch",$25,fast and furious ,water ,"Parents,Siblings,Friends",A little (mild),Sushi
1346,1,fish and rice so about 2,"Weekend dinner,Late night snack",1 dollar per sushi,"Sushi is from Japan so I would think about a Japanese movie. Your Name, the anime movie.",green tea or water,Friends,A little (mild),Sushi
1347,4,5,"Week day lunch,Week day dinner,Weekend dinner",$15,Kung Fu Panda,Water,Strangers,None,Sushi
1348,2,6,"Week day lunch,Weekend lunch,At a party,Late night snack",40,Finding Nemo,Coke,Friends,None,Sushi
1349,2,"rice, fish, nori","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12 for 6 pieces,your name,water,"Parents,Siblings",A little (mild),Sushi
1350,5,Anywhere from 5-10,"Week day lunch,Weekend lunch,At a party",~$20,The Emoji Movie ,Water,Friends,None,Sushi
1351,5,5,Weekend dinner,20.99,rush hour,misso soup,"Parents,Friends",None,Sushi
1352,5,5,"Week day dinner,Weekend dinner",10,Rush Hour 2,Sake,Strangers,A little (mild),Sushi
1353,1,"Rice

meat

wasabi

3 min to 6 

4 being optimal","Weekend lunch,Weekend dinner,At a party",12 CAD,None,Soju,Friends,A lot (hot),Sushi
1354,2,5,"Weekend lunch,Weekend dinner,At a party",$25,"Isle of Dogs, this film =showcases a chef making a poisoned sushi.",miso soup,"Parents,Siblings",None,Sushi
1355,4,"Depends on the roll, but on average 5","Weekend lunch,Weekend dinner","One serving for me would at least have to be 8 rolls, and I expect to pay $12.",John Wick: Chapter 3 - Parabellum,Jasmine Tea,Parents,None,Sushi
1356,5,"I would expect one sushi to only contain rice, maybe nori, and definitely some type of fish. So a small platter of sushi would contain at least 10 different ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay at least 20 for a small platter of sushi,I don't think of any movie.,A tea would pair well,"Parents,Siblings,Friends",A little (mild),Sushi
1357,5,6,Weekend lunch,$30.00,Cars 2.,Water,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
1358,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,"Crazy, stupid, love",Coke Zero,Friends,A little (mild),Sushi
1359,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Crazy Rich Asians,Water,Friends,A little (mild),Sushi
1360,4,2-4,"Weekend dinner,Late night snack",8,None,Soju,Friends,A moderate amount (medium),Sushi
1361,3,8,"Weekend lunch,Weekend dinner",$12,Kill Bill,Sake,"Friends,Strangers",None,Sushi
1362,5,7,At a party,$25.00,Big Hero 6,Water,Strangers,None,Sushi
1363,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8,Tokyo Drift,sprite,"Parents,Siblings,Friends",None,Sushi
1364,5,7,"Week day dinner,Weekend dinner",25,ratatouille,water,Strangers,None,Sushi
1365,5,4,"Week day dinner,Weekend dinner",20,Breaking Bad,Water,Friends,None,Sushi
1366,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10,Monsters Inc,Water,"Siblings,Friends",None,Sushi
1367,4,"4-5: Rice, Nori, Seafood, Vegetables","Week day lunch,Weekend lunch,At a party,Late night snack","$20 for high-class sushi, 8 pieces",A Silent Voice,Water or Jarritos,Friends,None,Sushi
1368,4,At least 4 ingredients ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$40 for dinner. ,Kill Bill,Coca-Cola or Beer,"Parents,Strangers",A little (mild),Sushi
1369,4,"raw fish, rice","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10.99$,Pokemon the first movie ,Water,Friends,A lot (hot),Sushi
1370,2,"Depends but around 2+. I would say the average is around 4 with the 2 ingredients for the filling, 1 for rice and 1 for the wrap.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",Mabye each sushi cost 2$?,The Wolverine,Water,Parents,None,Sushi
1371,5,5,"Weekend lunch,Weekend dinner",$20,House MD,Water,Parents,None,Sushi
1372,4,8,"Week day lunch,Weekend lunch,At a party,Late night snack",$10,Jiro Dreams of Sushi,Water,"Teachers,Strangers",A little (mild),Sushi
1373,4,5,"Week day lunch,Week day dinner,Weekend dinner",24,The Fast and the Furious: Tokyo Drift,Green Tea,"Parents,Friends",None,Sushi
1374,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",12,Crazy Rich Asians,water,"Parents,Siblings,Friends",None,Sushi
1375,2,5 ingredients,"Week day lunch,Weekend lunch,At a party",$5,Shark Tale,Green tea,"Friends,Teachers,Strangers",A moderate amount (medium),Sushi
1376,2,5-8,"Week day lunch,Weekend lunch,Late night snack",$6,Who am I? (Jackie Chan),Water,Friends,A little (mild),Sushi
1377,4,4-5,"Week day dinner,Weekend dinner",20,Cars 2,Tea,"Parents,Siblings,Friends",A little (mild),Sushi
1378,5,3+,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15,Cars,Green Tea,"Parents,Siblings,Friends",None,Sushi
1379,4,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12 dollars,Jiro Dreams of Sushi,Water,"Siblings,Friends",None,Sushi
1380,3,"1. Seaweed

2. Rice

Many other possibilities of the main ingrediant:

3. Carrot / Yellow Radish / Cucumber / Avogado

4. Meat (Tuna, Salmon)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Really depends on the main ingredient, usually $5-$15 for a roll.","Japanese movies, food documentaries.","stereotypically nihonshu, but maybe tea and water too.","Parents,Siblings,Friends",None,Sushi
1381,4,5,"Weekend lunch,Weekend dinner,At a party",12,Your Name,water,"Parents,Friends,Strangers",A lot (hot),Sushi
1382,3,Five.,"Week day lunch,Weekend lunch,Late night snack",10 CAD.,"Jiro Dreams of Sushi
--------------------",Coca Cola.,Siblings,None,Sushi
1383,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,the big short,coke,"Parents,Siblings",I will have some of this food item with my hot sauce,Sushi
1384,2,3,"Weekend lunch,Weekend dinner",$15,Big Hero 6,Water,Friends,None,Sushi
1385,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",13,Kodoku No Gurume,Barley tea,Parents,None,Sushi
1386,3,10,"Weekend lunch,Weekend dinner",$15,Godzilla,Milk,"Friends,Strangers",A moderate amount (medium),Sushi
1387,4,3,"Week day dinner,Weekend dinner",$14,Bullet Train,Sake,"Parents,Strangers",None,Sushi
1388,3,It can vary from the type of sushi. So lets say 2-15 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5$ up to 20$,Anime,Water,Strangers,None,Sushi
1389,4,3+,Weekend dinner,$30,Your Name,Water,Strangers,A little (mild),Sushi
1390,4,2,"Week day lunch,Weekend lunch,Late night snack",10,Memoirs of a Geisha,Water,Friends,None,Sushi
1391,2,4,"Week day dinner,Weekend dinner,Late night snack",10,G.I. Joe,Sparkling water,"Parents,Friends,Strangers",None,Sushi
1392,2,5,Weekend dinner,$20,OldBoy,Sake,Parents,None,Sushi
1393,4,4,"Week day lunch,Weekend lunch,At a party",10,"Monsters, Inc.",Water,Friends,None,Sushi
1394,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$18,Monsters Inc.,Water,Siblings,None,Sushi
1395,4,5,"Week day lunch,Weekend dinner",15,inception,water,"Parents,Siblings",None,Sushi
1396,2,4,"Week day dinner,Weekend dinner,Late night snack",$4.50,None,Water,"Friends,Strangers",None,Sushi
1397,5,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,Penguins of madagascar,Beer,"Siblings,Friends",A little (mild),Sushi
1398,1,3,Weekend dinner,17-18$,Jiro Dreams of Sushi,Water,Friends,None,Sushi
1399,5,5,"Week day lunch,Weekend lunch",25,Jiro Dreams of Sushi,Sake,Friends,A little (mild),Sushi
1400,5,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",25,japanese movie,water,Friends,None,Sushi
1401,1,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6,none,coke,Parents,None,Sushi
1402,4,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$10,Monsters Inc,water,"Friends,Strangers",A little (mild),Sushi
1403,3,4-7,"Week day dinner,Weekend dinner",$10,Crazy rich asians,Water,"Siblings,Friends",A moderate amount (medium),Sushi
1404,4,4,"Week day dinner,Weekend dinner",$20,John Wick,green tea,"Parents,Siblings,Friends",None,Sushi
1405,5,3,"Week day dinner,Weekend dinner",30-40$,no movie,sake,Friends,None,Sushi
1406,2,"Seafood, rice, nori","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",18 to 20 dollars,jiro dreams of sushi,green tea,"Parents,Friends",A lot (hot),Sushi
1407,2,3,"Weekend lunch,Weekend dinner",$30,Tokyo drift,Water,"Parents,Siblings",None,Sushi
1408,1,10,"Weekend lunch,At a party",10,shrek3,powerade,Teachers,A lot (hot),Sushi
1409,2,5,Late night snack,12.79,Aquaman,Soda,"Friends,Strangers",A moderate amount (medium),Sushi
1410,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",8,None,miso soup,Friends,None,Sushi
1411,5,7 to 10 ingredients,"Week day dinner,Weekend dinner",12 Dollars,47 Ronin,Green Tea,"Parents,Siblings",None,Sushi
1412,4,8 ingredients ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20,Barbie (2021),Water,"Siblings,Friends,Strangers",A little (mild),Sushi
1413,4,5-7.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10 dollars.,Howl's Moving Castle,Water,Friends,None,Sushi
1414,4,The number of ingredients in this food item is between 4 and 7.,At a party,About $25.,I think of the Spider-Man movie.,I like traditional green tea with it.,Friends,None,Sushi
1415,4,5,"Week day lunch,Week day dinner",15,Madagascar,Water,"Siblings,Friends",A lot (hot),Sushi
1416,5,5,"Week day lunch,Weekend lunch,Weekend dinner",$5,Rush Hour,Water,"Siblings,Friends",None,Sushi
1417,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",One sushi roll: $15,Monsters Inc.,"Water, green tea","Siblings,Friends",None,Sushi
1418,2,I have never eaten sushi before so I am guessing: Around 4 ingredients. I believe there are multiple types of sushi's so it may depend.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would probably expect to pay $10 for a tray of sushi,Penguins of Madagascar. There was a scene where all penguins made sushi and had to fight a big purple octopus with it.,Water,Friends,None,Sushi
1419,5,"5 - Avacoda, cucumber, rice, fish, seaweed",Week day lunch,$10,Kill Bill,Green Tea,"Parents,Siblings",A lot (hot),Sushi
1420,2,2 to 4 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 to 20 dollars,Finding Nemo,Water,"Friends,Strangers",None,Sushi
1421,5,4,"Week day lunch,Weekend lunch,Weekend dinner",$10,Pokemon,Green Tea,"Parents,Friends",None,Sushi
1422,4,5,"Week day lunch,Late night snack",$15,9,Water,Friends,A little (mild),Sushi
1423,4,Usually 2 if we talking about one piece of normal sushi,"Week day lunch,Weekend lunch,Weekend dinner",around 1 per piece,Japanese movie,Hot matcha,Parents,None,Sushi
1424,3,~2-3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",~$15-20,jiro dreams of sushi,water,Friends,None,Sushi
1425,4,At least 3,"Week day dinner,Weekend dinner",At least 15 CAD,James Bond,Green Tea,Siblings,None,Sushi
1426,1,4,"Week day lunch,Weekend dinner,Late night snack",15,Jiro Dreams of Sushi,Green tea,Parents,None,Sushi
1427,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$6.50,Wags,Green tea,"Parents,Siblings",None,Sushi
1428,5,"Fish
Rice
Seaweed","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5$,Your Name,Water or fruit juice.,"Friends,Teachers,Strangers",A lot (hot),Sushi
1429,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollars,naruto,matcha,"Parents,Siblings",None,Sushi
1430,4,6,"Week day lunch,Week day dinner,At a party",$8.00,Notting Hill,Mango Juice,"Friends,Strangers",A moderate amount (medium),Sushi
1431,2,3,Weekend dinner,A box of sushi would be around 8 dollar.,None,Green tea,Friends,None,Sushi
1432,3,5,"Week day dinner,Weekend dinner",$3,The Wolverine,Water,"Siblings,Friends",None,Sushi
1433,4,3-5,"Week day dinner,Weekend dinner",$5,Rush Hour 2,Green Tea,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
1434,3,5,"Week day dinner,Weekend dinner,Late night snack",14,Made in Abyss: Dawn of the Deep Soul,Bubble Milk Tea,Friends,None,Sushi
1435,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollars,Madagascar,Tea,Parents,A little (mild),Sushi
1436,1,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7,The Wolverine,Water,"Parents,Siblings,Friends",None,Sushi
1437,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,Kung Fu Panda,Diet Coke,"Siblings,Strangers",None,Sushi
1438,4,5,"Week day dinner,Weekend dinner,At a party",$10,Your Name,tea,Friends,A little (mild),Sushi
1439,3,5,"Week day lunch,Weekend lunch",14,None,diet coke,Friends,None,Sushi
1440,2,2-5,"Week day dinner,Weekend dinner",15 CAD for 8 pieces,Meitantei Konan,Barley tea,"Parents,Friends",None,Sushi
1441,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Cars,Coca Cola,"Friends,Strangers",None,Sushi
1442,4,5,"Week day lunch,Weekend lunch,Weekend dinner",35,the last samurai,water,"Parents,Siblings,Friends",None,Sushi
1443,4,4,Weekend dinner,$20,ShangChi,Water,"Parents,Siblings,Friends",None,Sushi
1444,5,"I would expect this food item to contain at least five ingredients, taking a nigiri sushi as an example: rice, vinegar, sugar, salt, and fish.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","Taking one set as one serving, I would expect to pay $20.",I don't have a movie I think of when I think of sushi.,I would pair tea with sushi.,"Parents,Siblings,Strangers",A little (mild),Sushi
1445,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20 CAD,Godzilla,Rice wine,"Parents,Siblings,Friends",None,Sushi
1446,5,"Seaweed, Rice, Raw Fish. So 3 ingredients.","Week day dinner,Weekend lunch,Weekend dinner",$15,Bullet Train,Water,Friends,None,Sushi
1447,3,4-12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9-$40,Avengers,Milk Tea,"Parents,Friends",None,Sushi
1448,5,4,"Week day dinner,Weekend dinner,At a party,Late night snack",8,"**************
Johnny English
**************",ALCOHOLIC SAKE,"Friends,Teachers",None,Sushi
1449,5,4,"Week day dinner,Weekend dinner",20,tokyo drift,pepsi,"Parents,Friends",None,Sushi
1450,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",25,Billions - TV Show,Sake,"Parents,Siblings,Friends",None,Sushi
1451,2,4,"Week day lunch,Week day dinner,Weekend dinner",10,Rush Hour,Water,Parents,None,Sushi
1452,4,It could contain anywhere between 2 to 8 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",One serving of sushi would be $16,Madagascar 2,straight soy sauce by the gallon,"Parents,Friends",A moderate amount (medium),Sushi
1453,4,5,"Week day dinner,Weekend dinner",around 17 dollars,Weathering with You,tea,"Parents,Siblings",None,Sushi
1454,3,4-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10,The Fast and the Furious: Tokyo Drift,Water,Friends,A little (mild),Sushi
1455,3,2-3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10-25 Canadian dollars,None,Hot Tea,"Parents,Friends",None,Sushi
1456,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Godzilla,Bubble Tea,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Sushi
1457,3,3 to 8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 to $25,Nothing,tea,"Parents,Siblings,Friends,Strangers",None,Sushi
1458,3,5,"Week day lunch,Weekend lunch,At a party",15,No movie,Water,"Friends,Teachers",A lot (hot),Sushi
1459,4,3,"Week day dinner,Weekend dinner",$15,"Monsters, Inc.",Pepsi,Friends,A little (mild),Sushi
1460,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10,ip man,tea,"Parents,Siblings,Friends",None,Sushi
1461,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,John Wick: Chapter 4,tea,"Parents,Siblings,Friends",None,Sushi
1462,5,Two.,"Week day dinner,Weekend dinner,At a party",15 CAD.,Isle of Dogs.,Water.,"Parents,Siblings",None,Sushi
1463,3,3,"Weekend dinner,At a party,Late night snack",$20,Star Wars,Barley Tea,"Siblings,Friends",A little (mild),Sushi
1464,3,3-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10-20,Jiro Dreams of Sushi,Sake or sparkling water,"Siblings,Friends",A moderate amount (medium),Sushi
